A04QT	brca	coad	-2.07944154167984	0.125
A07ZT	brca	coad	-2.07944154167984	0.125
A03VT	brca	coad	-2.07944154167984	0.125
A1FNT	brca	coad	-2.07944154167984	0.125
A04TT	brca	hnsc	-2.07944154167984	0.125
A18UT	brca	brca	-2.07944154167984	0.125
A0DZT	brca	hnsc	-2.07944154167984	0.125
A07IT	brca	brca	-2.07944154167984	0.125
A153N	brca	hnsc	-2.07944154167984	0.125
A0DGN	brca	thca	-2.07944154167984	0.125
A0AZT	brca	thca	-2.07944154167984	0.125
A0H5T	brca	prad	-2.07944154167984	0.125
A08IT	brca	prad	-2.07944154167984	0.125
A08OT	brca	prad	-2.07944154167984	0.125
A1NDT	brca	kric	-2.07944154167984	0.125
A04UT	brca	brca	-2.07944154167984	0.125
A1L7T	brca	luad	-2.07944154167984	0.125
A13ET	brca	prad	-2.07944154167984	0.125
A07FT	brca	thca	-2.07944154167984	0.125
A1ENN	brca	brca	-2.07944154167984	0.125
A06ZT	brca	kric	-2.07944154167984	0.125
A0C3N	brca	kric	-2.07944154167984	0.125
A158N	brca	coad	-2.07944154167984	0.125
A1NFN	brca	brca	-2.07944154167984	0.125
A0AZN	brca	coad	-2.07944154167984	0.125
A075T	brca	coad	-2.07944154167984	0.125
A0BZT	brca	coad	-2.07944154167984	0.125
A07JT	brca	thca	-2.07944154167984	0.125
A0E1N	brca	coad	-2.07944154167984	0.125
A2FBT	brca	prad	-2.07944154167984	0.125
A0B8N	brca	kric	-2.07944154167984	0.125
A2FFN	brca	coad	-2.07944154167984	0.125
A083T	brca	hnsc	-2.07944154167984	0.125
A0AYN	brca	brca	-2.07944154167984	0.125
A204T	brca	coad	-2.07944154167984	0.125
A23HN	brca	brca	-2.07944154167984	0.125
A03XT	brca	coad	-2.07944154167984	0.125
A046T	brca	coad	-2.07944154167984	0.125
A1FGN	brca	luad	-2.07944154167984	0.125
A203N	brca	thca	-2.07944154167984	0.125
A06PT	brca	brca	-2.07944154167984	0.125
A15KN	brca	coad	-2.07944154167984	0.125
A1R7T	brca	brca	-2.07944154167984	0.125
A1FGT	brca	brca	-2.07944154167984	0.125
A0HAT	brca	kric	-2.07944154167984	0.125
A1FUT	brca	coad	-2.07944154167984	0.125
A1N5N	brca	luad	-2.07944154167984	0.125
A18VT	brca	thca	-2.07944154167984	0.125
A0DBN	brca	brca	-2.07944154167984	0.125
A0BST	brca	lusc	-2.07944154167984	0.125
A0DPT	brca	hnsc	-2.07944154167984	0.125
A1RHT	brca	coad	-2.07944154167984	0.125
A04RT	brca	brca	-2.07944154167984	0.125
A1RFN	brca	coad	-2.07944154167984	0.125
A0H7T	brca	brca	-2.07944154167984	0.125
A0HKN	brca	brca	-2.07944154167984	0.125
A0BCT	brca	brca	-2.07944154167984	0.125
6603N	coad	hnsc	-2.07944154167984	0.125
2685N	coad	coad	-2.07944154167984	0.125
6679T	coad	brca	-2.07944154167984	0.125
6601T	coad	coad	-2.07944154167984	0.125
4614T	coad	hnsc	-2.07944154167984	0.125
A28GT	coad	lusc	-2.07944154167984	0.125
6807T	coad	prad	-2.07944154167984	0.125
6964T	coad	brca	-2.07944154167984	0.125
6648T	coad	hnsc	-2.07944154167984	0.125
4684T	coad	thca	-2.07944154167984	0.125
6649T	coad	prad	-2.07944154167984	0.125
6676T	coad	kric	-2.07944154167984	0.125
4950T	coad	kric	-2.07944154167984	0.125
3489N	coad	brca	-2.07944154167984	0.125
5864T	coad	coad	-2.07944154167984	0.125
6529T	coad	coad	-2.07944154167984	0.125
A5Z2T	coad	brca	-2.07944154167984	0.125
3660N	coad	prad	-2.07944154167984	0.125
5659T	coad	coad	-2.07944154167984	0.125
4743T	coad	brca	-2.07944154167984	0.125
6304T	coad	luad	-2.07944154167984	0.125
6809T	coad	kric	-2.07944154167984	0.125
A02YT	coad	prad	-2.07944154167984	0.125
6601N	coad	thca	-2.07944154167984	0.125
6607T	coad	coad	-2.07944154167984	0.125
A5Z1T	coad	prad	-2.07944154167984	0.125
6932T	coad	brca	-2.07944154167984	0.125
6747T	coad	coad	-2.07944154167984	0.125
3492T	coad	prad	-2.07944154167984	0.125
3663N	coad	coad	-2.07944154167984	0.125
6857T	coad	kric	-2.07944154167984	0.125
4948T	coad	coad	-2.07944154167984	0.125
3506T	coad	thca	-2.07944154167984	0.125
5868T	coad	prad	-2.07944154167984	0.125
6625T	coad	hnsc	-2.07944154167984	0.125
4313T	coad	brca	-2.07944154167984	0.125
6855T	coad	thca	-2.07944154167984	0.125
5915T	coad	brca	-2.07944154167984	0.125
6541T	coad	coad	-2.07944154167984	0.125
